Project Name,Revision ID,API Type,Commit Type,Note,Log
GPflow/GPflow,65342e3a1cfaaf0befac4d9e853e3462cef98403,,Deprecate,,added test for linear+rbf psi statistics  cleaned up code to pep8
GPflow/GPflow,65342e3a1cfaaf0befac4d9e853e3462cef98403,Linear,Deprecate,,added test for linear+rbf psi statistics  cleaned up code to pep8
uwnlp/qrn,0ab34c1784008582ed1b6190305c943ab1937671,,Bug Fix,,generator done  but not accurate
uwnlp/qrn,0ab34c1784008582ed1b6190305c943ab1937671,Linear,Bug Fix,,generator done  but not accurate
uwnlp/qrn,0ab34c1784008582ed1b6190305c943ab1937671,Training,Bug Fix,,generator done  but not accurate
uwnlp/qrn,0ab34c1784008582ed1b6190305c943ab1937671,,Feature,,generator done  but not accurate
uwnlp/qrn,0ab34c1784008582ed1b6190305c943ab1937671,Linear,Feature,,generator done  but not accurate
uwnlp/qrn,0ab34c1784008582ed1b6190305c943ab1937671,Training,Feature,,generator done  but not accurate
Yonv1943/ElegantRL,5a80d7aa75674a24043f379ed54892ade317aa89,,Bug Fix,,recorder max reward  critic fixbug
Yonv1943/ElegantRL,5a80d7aa75674a24043f379ed54892ade317aa89,Linear,Bug Fix,,recorder max reward  critic fixbug
Yonv1943/ElegantRL,5a80d7aa75674a24043f379ed54892ade317aa89,Training,Bug Fix,,recorder max reward  critic fixbug
Yonv1943/ElegantRL,5a80d7aa75674a24043f379ed54892ade317aa89,Activation,Bug Fix,,recorder max reward  critic fixbug
as-ideas/TransformerTTS,0be667ccb689bb7e2af6c7f18c6bb02346ccc6c4,,Refactor,,project structure and reformat.
as-ideas/TransformerTTS,0be667ccb689bb7e2af6c7f18c6bb02346ccc6c4,Linear,Refactor,,project structure and reformat.
mindsdb/lightwood,473b7387f2d20fba7359be5ff6a4fee4784f992f,Linear,Refactor,,renaming some variables so theya re more descriptive
mindsdb/lightwood,473b7387f2d20fba7359be5ff6a4fee4784f992f,Initializer,Refactor,,renaming some variables so theya re more descriptive
calclavia/DeepJ,6de378cf139cf7732b774d94682a95f281591569,,Bug Fix,,generation seems to work but output is silent
calclavia/DeepJ,6de378cf139cf7732b774d94682a95f281591569,Linear,Bug Fix,,generation seems to work but output is silent
calclavia/DeepJ,6de378cf139cf7732b774d94682a95f281591569,Activation,Bug Fix,,generation seems to work but output is silent
OpenNMT/OpenNMT-tf,82dbc348b71e9cb86c3003555389f2efc9e3ef90,Linear,Feature,,make feedforwardnetwork activation configurable
ishalyminov/multitask_disfluency_detection,3bd003eacac642dc6315973bfe46ae0f9bf9dd8b,,Feature,,now training on the whole dataset  no sampling
ishalyminov/multitask_disfluency_detection,3bd003eacac642dc6315973bfe46ae0f9bf9dd8b,Linear,Feature,,now training on the whole dataset  no sampling
ishalyminov/multitask_disfluency_detection,3bd003eacac642dc6315973bfe46ae0f9bf9dd8b,Temporal,Feature,,now training on the whole dataset  no sampling
yizt/keras-faster-rcnn,af61ce72bd76c2b41f55339a76feff11ab1ee20d,,Bug Fix,,fix the channel dimension of the inputs should be defined. found none
yizt/keras-faster-rcnn,af61ce72bd76c2b41f55339a76feff11ab1ee20d,Linear,Bug Fix,,fix the channel dimension of the inputs should be defined. found none
neuroailab/tfutils,c0e590964cac178540632b270e468f99d9566ac7,,Deprecate,,now in conv and fc  if dropout is not none then x = tf.nn.dropout(x  rate=dropout) rather than keep_prob=dropout (deprecated)
neuroailab/tfutils,c0e590964cac178540632b270e468f99d9566ac7,Linear,Deprecate,,now in conv and fc  if dropout is not none then x = tf.nn.dropout(x  rate=dropout) rather than keep_prob=dropout (deprecated)
neuroailab/tfutils,c0e590964cac178540632b270e468f99d9566ac7,Dropout,Deprecate,,now in conv and fc  if dropout is not none then x = tf.nn.dropout(x  rate=dropout) rather than keep_prob=dropout (deprecated)
neuroailab/tfutils,c0e590964cac178540632b270e468f99d9566ac7,Convolutional,Deprecate,,now in conv and fc  if dropout is not none then x = tf.nn.dropout(x  rate=dropout) rather than keep_prob=dropout (deprecated)
GPflow/GPflow,ba71ff1dc1282c7ce88e7da0596c11754f51d0f0,,Feature,,added posterior object to new module
GPflow/GPflow,ba71ff1dc1282c7ce88e7da0596c11754f51d0f0,Linear,Feature,,added posterior object to new module
veronicachelu/meta-learning,05a1c5d3825e59e27630cef0216f876cdbce340a,,Feature,,added lstm for internal policy and value function
veronicachelu/meta-learning,05a1c5d3825e59e27630cef0216f876cdbce340a,Linear,Feature,,added lstm for internal policy and value function
veronicachelu/meta-learning,05a1c5d3825e59e27630cef0216f876cdbce340a,Temporal,Feature,,added lstm for internal policy and value function
veronicachelu/meta-learning,05a1c5d3825e59e27630cef0216f876cdbce340a,Activation,Feature,,added lstm for internal policy and value function
vrenkens/tfkaldi,bf32fcf81c73ad8509bf7c29658d503f719d9af5,,Feature,,currently reworking the nnet_layer code.
vrenkens/tfkaldi,bf32fcf81c73ad8509bf7c29658d503f719d9af5,Temporal,Feature,,currently reworking the nnet_layer code.
vrenkens/tfkaldi,bf32fcf81c73ad8509bf7c29658d503f719d9af5,Initializer,Feature,,currently reworking the nnet_layer code.
vrenkens/tfkaldi,bf32fcf81c73ad8509bf7c29658d503f719d9af5,Training,Feature,,currently reworking the nnet_layer code.
vrenkens/tfkaldi,bf32fcf81c73ad8509bf7c29658d503f719d9af5,Linear,Feature,,currently reworking the nnet_layer code.
autorope/donkeycar,8d882055c7a9a8b7c22813caf76408602ef5fc69,,Feature,,crop and normalize outside of model
autorope/donkeycar,8d882055c7a9a8b7c22813caf76408602ef5fc69,Linear,Feature,,crop and normalize outside of model
autorope/donkeycar,8d882055c7a9a8b7c22813caf76408602ef5fc69,Dropout,Feature,,crop and normalize outside of model
autorope/donkeycar,8d882055c7a9a8b7c22813caf76408602ef5fc69,Normalization,Feature,,crop and normalize outside of model
danielegrattarola/spektral,309e5f0456b886490ff289c8d667e6bd675228ec,,Feature,,- implement qm9 dataset with new dataset class\n- update qm9 examples and tests\n- improve memory usage of localpooling_filter\n- improve dataset.__getitem__
danielegrattarola/spektral,309e5f0456b886490ff289c8d667e6bd675228ec,Linear,Feature,,- implement qm9 dataset with new dataset class\n- update qm9 examples and tests\n- improve memory usage of localpooling_filter\n- improve dataset.__getitem__
uclnlp/jack,821b97a5e1f5b2168f4c39c1fa246c81ae8de172,,Other,,removed default relu from fully_connected in predictor
uclnlp/jack,821b97a5e1f5b2168f4c39c1fa246c81ae8de172,Initializer,Other,,removed default relu from fully_connected in predictor
uclnlp/jack,821b97a5e1f5b2168f4c39c1fa246c81ae8de172,Training,Other,,removed default relu from fully_connected in predictor
uclnlp/jack,821b97a5e1f5b2168f4c39c1fa246c81ae8de172,Linear,Other,,removed default relu from fully_connected in predictor
uclnlp/jack,821b97a5e1f5b2168f4c39c1fa246c81ae8de172,Activation,Other,,removed default relu from fully_connected in predictor
jparkhill/TensorMol,8f1c24f46a5a79b409b63e53a4945bf8fe66a732,,Bug Fix,,started tmparams  and fixed bug
jparkhill/TensorMol,8f1c24f46a5a79b409b63e53a4945bf8fe66a732,Linear,Bug Fix,,started tmparams  and fixed bug
jparkhill/TensorMol,8f1c24f46a5a79b409b63e53a4945bf8fe66a732,Training,Bug Fix,,started tmparams  and fixed bug
jparkhill/TensorMol,8f1c24f46a5a79b409b63e53a4945bf8fe66a732,Activation,Bug Fix,,started tmparams  and fixed bug
GPflow/GPflow,ddeedc6dd96060885edd207bd0772579438e9482,,Feature,,added independent but distinct kernels for multi-output support in `conditional()`.
GPflow/GPflow,ddeedc6dd96060885edd207bd0772579438e9482,Linear,Feature,,added independent but distinct kernels for multi-output support in `conditional()`.
saic-vul/odometry,977b47cdfac609b680fbd83026856e56a979ebb3,Linear,Bug Fix,,fixed bug in flowcomposer layer: translation pred was broken
NifTK/NiftyNet,2a09f6d21d2720a6deeff46b345ace3a931bb7fa,,Feature,,improve crf normalisation factor\n\nthis layer now precisely follows the default normalisation mode ('normalize_symmetric')\nof kr\u00e4henb\u00fchl and vladlen's code http://graphics.stanford.edu/projects/densecrf/.
NifTK/NiftyNet,2a09f6d21d2720a6deeff46b345ace3a931bb7fa,Linear,Feature,,improve crf normalisation factor\n\nthis layer now precisely follows the default normalisation mode ('normalize_symmetric')\nof kr\u00e4henb\u00fchl and vladlen's code http://graphics.stanford.edu/projects/densecrf/.
NifTK/NiftyNet,2a09f6d21d2720a6deeff46b345ace3a931bb7fa,,Deprecate,,improve crf normalisation factor\n\nthis layer now precisely follows the default normalisation mode ('normalize_symmetric')\nof kr\u00e4henb\u00fchl and vladlen's code http://graphics.stanford.edu/projects/densecrf/.
NifTK/NiftyNet,2a09f6d21d2720a6deeff46b345ace3a931bb7fa,Linear,Deprecate,,improve crf normalisation factor\n\nthis layer now precisely follows the default normalisation mode ('normalize_symmetric')\nof kr\u00e4henb\u00fchl and vladlen's code http://graphics.stanford.edu/projects/densecrf/.
athena-team/athena,6eef1bb531863f344ef786344c488af4e21e5c9e,,Feature,,change the main interface of models
athena-team/athena,6eef1bb531863f344ef786344c488af4e21e5c9e,Linear,Feature,,change the main interface of models
athena-team/athena,6eef1bb531863f344ef786344c488af4e21e5c9e,Sparse,Feature,,change the main interface of models
edniemeyer/keras_timeseries,8866ae09a891f254c7d6e9d34ec8ff4ebdad4123,Linear,Other,,preparing for tests to find best parameters on btc dataset
arthurdouillard/incremental_learning.pytorch,88df9e11235da394326d734d3d0a99aa05346bb2,,Feature,,[network] add cosinesimi classifier.
arthurdouillard/incremental_learning.pytorch,88df9e11235da394326d734d3d0a99aa05346bb2,Linear,Feature,,[network] add cosinesimi classifier.
arthurdouillard/incremental_learning.pytorch,88df9e11235da394326d734d3d0a99aa05346bb2,Initializer,Feature,,[network] add cosinesimi classifier.
dpressel/mead-baseline,ae353c333be50609a5cce0bc76b5306e7cbd00ed,,Refactor,,change mot pooling to be easier to read
dpressel/mead-baseline,ae353c333be50609a5cce0bc76b5306e7cbd00ed,Linear,Refactor,,change mot pooling to be easier to read
dpressel/mead-baseline,ae353c333be50609a5cce0bc76b5306e7cbd00ed,Dropout,Refactor,,change mot pooling to be easier to read
dpressel/mead-baseline,ae353c333be50609a5cce0bc76b5306e7cbd00ed,Activation,Refactor,,change mot pooling to be easier to read
NervanaSystems/coach,6de3d191c2f9998256429404776fd3bf5bae6d8a,,Other,good example,removed loss function for head. loss is implemented only via loss class
NervanaSystems/coach,6de3d191c2f9998256429404776fd3bf5bae6d8a,Linear,Other,good example,removed loss function for head. loss is implemented only via loss class
NervanaSystems/coach,6de3d191c2f9998256429404776fd3bf5bae6d8a,Training,Other,good example,removed loss function for head. loss is implemented only via loss class
NervanaSystems/coach,6de3d191c2f9998256429404776fd3bf5bae6d8a,,Refactor,good example,removed loss function for head. loss is implemented only via loss class
NervanaSystems/coach,6de3d191c2f9998256429404776fd3bf5bae6d8a,Linear,Refactor,good example,removed loss function for head. loss is implemented only via loss class
NervanaSystems/coach,6de3d191c2f9998256429404776fd3bf5bae6d8a,Training,Refactor,good example,removed loss function for head. loss is implemented only via loss class
bethesirius/ChosunTruck,5c8e1a7d183e8468c8b90c64afd561b8b84c1b34,,Feature,,changed queueing input mechanism.
bethesirius/ChosunTruck,5c8e1a7d183e8468c8b90c64afd561b8b84c1b34,Temporal,Feature,,changed queueing input mechanism.
bethesirius/ChosunTruck,5c8e1a7d183e8468c8b90c64afd561b8b84c1b34,Training,Feature,,changed queueing input mechanism.
bethesirius/ChosunTruck,5c8e1a7d183e8468c8b90c64afd561b8b84c1b34,Linear,Feature,,changed queueing input mechanism.
bethesirius/ChosunTruck,5c8e1a7d183e8468c8b90c64afd561b8b84c1b34,Activation,Feature,,changed queueing input mechanism.
davmre/elbow,520e10c0c0699853e26bc8ee7da150c051a43e96,,Refactor,,refactoring to include a generic method for symmetry corrections
davmre/elbow,520e10c0c0699853e26bc8ee7da150c051a43e96,Linear,Refactor,,refactoring to include a generic method for symmetry corrections
mrahtz/ocd-a3c,3f5891759700d3f5ae645987e7a797438e992217,Linear,Feature,,initialize value weights with low gain
mrahtz/ocd-a3c,3f5891759700d3f5ae645987e7a797438e992217,Initializer,Feature,,initialize value weights with low gain
goldsborough/cytogan,9fbf814ff5f7acb06df80635353bec50245f7552,,Other,,testing if replacing keras batchnorm helps
goldsborough/cytogan,9fbf814ff5f7acb06df80635353bec50245f7552,Linear,Other,,testing if replacing keras batchnorm helps
goldsborough/cytogan,9fbf814ff5f7acb06df80635353bec50245f7552,Normalization,Other,,testing if replacing keras batchnorm helps
dreamquark-ai/tabnet,5764a43e72cb643fff806f70ed9dfa2e48433f50,,Feature,,feat: tabnetmultitaskclassifier
dreamquark-ai/tabnet,5764a43e72cb643fff806f70ed9dfa2e48433f50,Linear,Feature,,feat: tabnetmultitaskclassifier
pdasigi/onto-lstm,9f0ada9b820b5937f6204a6de2105800cfced124,Linear,Feature,,output dropout and configurable number of mlp layers
pdasigi/onto-lstm,9f0ada9b820b5937f6204a6de2105800cfced124,Dropout,Feature,,output dropout and configurable number of mlp layers
tingiskhan/pyfilter,375cea2227cbf78cd6cc0b21846dd5a2f8646b81,,Feature,,unscentedtransform now handles case when dimension of state space is different from dimension of incremental distribution (#75)\n\nco-authored-by: victor <victor.gruselius@gmail.com>
tingiskhan/pyfilter,375cea2227cbf78cd6cc0b21846dd5a2f8646b81,Linear,Feature,,unscentedtransform now handles case when dimension of state space is different from dimension of incremental distribution (#75)\n\nco-authored-by: victor <victor.gruselius@gmail.com>
EdinburghNLP/nematus,b166e11999d575822c0bf9c36727b0517f257276,Dropout,Bug Fix,,bugfix in transformer.py\n\nit seems that the dropout is applied twice to the embedding of the transformer decoder.
EdinburghNLP/nematus,b166e11999d575822c0bf9c36727b0517f257276,Temporal,Bug Fix,,bugfix in transformer.py\n\nit seems that the dropout is applied twice to the embedding of the transformer decoder.
EdinburghNLP/nematus,b166e11999d575822c0bf9c36727b0517f257276,Sparse,Bug Fix,,bugfix in transformer.py\n\nit seems that the dropout is applied twice to the embedding of the transformer decoder.
inikdom/rnn-speech,66198d5aee3b820b6c786b97fcab43eea31450ae,,Other,,remove the input dropout and make the output dropout progressive\nbetween layers
inikdom/rnn-speech,66198d5aee3b820b6c786b97fcab43eea31450ae,Dropout,Other,,remove the input dropout and make the output dropout progressive\nbetween layers
inikdom/rnn-speech,66198d5aee3b820b6c786b97fcab43eea31450ae,Training,Other,,remove the input dropout and make the output dropout progressive\nbetween layers
inikdom/rnn-speech,66198d5aee3b820b6c786b97fcab43eea31450ae,,Feature,,remove the input dropout and make the output dropout progressive\nbetween layers
inikdom/rnn-speech,66198d5aee3b820b6c786b97fcab43eea31450ae,Dropout,Feature,,remove the input dropout and make the output dropout progressive\nbetween layers
inikdom/rnn-speech,66198d5aee3b820b6c786b97fcab43eea31450ae,Training,Feature,,remove the input dropout and make the output dropout progressive\nbetween layers
allenai/bi-att-flow,d3d9b1eeb316c0d0ed82f5fbee0e4006425b7386,,Feature,,basic: added dropout  bidirectional inference
allenai/bi-att-flow,d3d9b1eeb316c0d0ed82f5fbee0e4006425b7386,Dropout,Feature,,basic: added dropout  bidirectional inference
TensorMSA/tensormsa,468084891cce510f56335758ceb3673f2f173490,,Bug Fix,,fix tf1.1(tensorflow 1.1) related rnn error
TensorMSA/tensormsa,468084891cce510f56335758ceb3673f2f173490,Dropout,Bug Fix,,fix tf1.1(tensorflow 1.1) related rnn error
TensorMSA/tensormsa,468084891cce510f56335758ceb3673f2f173490,Temporal,Bug Fix,,fix tf1.1(tensorflow 1.1) related rnn error
TensorMSA/tensormsa,468084891cce510f56335758ceb3673f2f173490,Linear,Bug Fix,,fix tf1.1(tensorflow 1.1) related rnn error
TensorMSA/tensormsa,468084891cce510f56335758ceb3673f2f173490,Activation,Bug Fix,,fix tf1.1(tensorflow 1.1) related rnn error
TensorMSA/tensormsa,468084891cce510f56335758ceb3673f2f173490,,Deprecate,,fix tf1.1(tensorflow 1.1) related rnn error
TensorMSA/tensormsa,468084891cce510f56335758ceb3673f2f173490,Dropout,Deprecate,,fix tf1.1(tensorflow 1.1) related rnn error
TensorMSA/tensormsa,468084891cce510f56335758ceb3673f2f173490,Temporal,Deprecate,,fix tf1.1(tensorflow 1.1) related rnn error
TensorMSA/tensormsa,468084891cce510f56335758ceb3673f2f173490,Linear,Deprecate,,fix tf1.1(tensorflow 1.1) related rnn error
TensorMSA/tensormsa,468084891cce510f56335758ceb3673f2f173490,Activation,Deprecate,,fix tf1.1(tensorflow 1.1) related rnn error
fgnt/padertorch,44392b2fb20a33ac2ec54aa5456fd7490cbd3447,,Refactor,,moved pit-model to corresponding pit example.
fgnt/padertorch,44392b2fb20a33ac2ec54aa5456fd7490cbd3447,Dropout,Refactor,,moved pit-model to corresponding pit example.
fgnt/padertorch,44392b2fb20a33ac2ec54aa5456fd7490cbd3447,Temporal,Refactor,,moved pit-model to corresponding pit example.
fgnt/padertorch,44392b2fb20a33ac2ec54aa5456fd7490cbd3447,Linear,Refactor,,moved pit-model to corresponding pit example.
davidsandberg/facenet,88248a0080aea74d0407ba0ce30cd81718a8fe10,,Feature,,using prelogits for lfw evaluation
davidsandberg/facenet,88248a0080aea74d0407ba0ce30cd81718a8fe10,Dropout,Feature,,using prelogits for lfw evaluation
indiejoseph/chinese-char-rnn,3071b9f9b87a13dcc9507bd7a56ca639040a01cb,Dropout,Feature,,update hyper-parameters  remove embedding level dropuout
indiejoseph/chinese-char-rnn,3071b9f9b87a13dcc9507bd7a56ca639040a01cb,Sparse,Other,,update hyper-parameters  remove embedding level dropuout
albertaparicio/tfg-voice-conversion,9da7cca8f2f61453d5c4f0d1c8a714b3dd80faeb,,Bug Fix,good example,do not mask src test data before prediction
albertaparicio/tfg-voice-conversion,9da7cca8f2f61453d5c4f0d1c8a714b3dd80faeb,Dropout,Bug Fix,good example,do not mask src test data before prediction
albertaparicio/tfg-voice-conversion,9da7cca8f2f61453d5c4f0d1c8a714b3dd80faeb,Temporal,Bug Fix,good example,do not mask src test data before prediction
albertaparicio/tfg-voice-conversion,9da7cca8f2f61453d5c4f0d1c8a714b3dd80faeb,Training,Bug Fix,good example,do not mask src test data before prediction
albertaparicio/tfg-voice-conversion,9da7cca8f2f61453d5c4f0d1c8a714b3dd80faeb,Reshaping,Bug Fix,good example,do not mask src test data before prediction
OpenNMT/OpenNMT-tf,759b9c04c2142702cad6607efd296746203ce642,,Feature,,add exampleinputter to produce model inputs (#333)
OpenNMT/OpenNMT-tf,759b9c04c2142702cad6607efd296746203ce642,Dropout,Feature,,add exampleinputter to produce model inputs (#333)
OpenNMT/OpenNMT-tf,759b9c04c2142702cad6607efd296746203ce642,Temporal,Feature,,add exampleinputter to produce model inputs (#333)
OpenNMT/OpenNMT-tf,759b9c04c2142702cad6607efd296746203ce642,Sparse,Feature,,add exampleinputter to produce model inputs (#333)
EdinburghNLP/nematus,224d9b8ddce4398a14153a4366a33cab1636a315,Dropout,Bug Fix,,fix rnn_dropout_embedding with tf >= 1.15\n\nthanks to @rajatbhatnagar94 for reporting.\ncloses #111
EdinburghNLP/nematus,224d9b8ddce4398a14153a4366a33cab1636a315,Dropout,Deprecate,,fix rnn_dropout_embedding with tf >= 1.15\n\nthanks to @rajatbhatnagar94 for reporting.\ncloses #111
EdinburghNLP/nematus,224d9b8ddce4398a14153a4366a33cab1636a315,Temporal,Bug Fix,,fix rnn_dropout_embedding with tf >= 1.15\n\nthanks to @rajatbhatnagar94 for reporting.\ncloses #111
EdinburghNLP/nematus,224d9b8ddce4398a14153a4366a33cab1636a315,Temporal,Deprecate,,fix rnn_dropout_embedding with tf >= 1.15\n\nthanks to @rajatbhatnagar94 for reporting.\ncloses #111
ivan-bilan/tac-self-attention,1148c6aba647c98536e2ec085b15bdcbcb64e59f,,Bug Fix,,added new experiments with fixed dpa
ivan-bilan/tac-self-attention,1148c6aba647c98536e2ec085b15bdcbcb64e59f,Dropout,Bug Fix,,added new experiments with fixed dpa
ivan-bilan/tac-self-attention,1148c6aba647c98536e2ec085b15bdcbcb64e59f,Pretrained,Bug Fix,,added new experiments with fixed dpa
ivan-bilan/tac-self-attention,1148c6aba647c98536e2ec085b15bdcbcb64e59f,Sparse,Bug Fix,,added new experiments with fixed dpa
ivan-bilan/tac-self-attention,1148c6aba647c98536e2ec085b15bdcbcb64e59f,,Feature,,added new experiments with fixed dpa
ivan-bilan/tac-self-attention,1148c6aba647c98536e2ec085b15bdcbcb64e59f,Dropout,Feature,,added new experiments with fixed dpa
ivan-bilan/tac-self-attention,1148c6aba647c98536e2ec085b15bdcbcb64e59f,Pretrained,Feature,,added new experiments with fixed dpa
ivan-bilan/tac-self-attention,1148c6aba647c98536e2ec085b15bdcbcb64e59f,Sparse,Feature,,added new experiments with fixed dpa
indiejoseph/chinese-char-rnn,8260fc9792cefc57b237300a8d7749858ed6f2ac,,Feature,,add multiplicated integrated to rnn
indiejoseph/chinese-char-rnn,8260fc9792cefc57b237300a8d7749858ed6f2ac,Dropout,Feature,,add multiplicated integrated to rnn
indiejoseph/chinese-char-rnn,8260fc9792cefc57b237300a8d7749858ed6f2ac,Temporal,Feature,,add multiplicated integrated to rnn
indiejoseph/chinese-char-rnn,8260fc9792cefc57b237300a8d7749858ed6f2ac,Training,Feature,,add multiplicated integrated to rnn
indiejoseph/chinese-char-rnn,8260fc9792cefc57b237300a8d7749858ed6f2ac,Sparse,Feature,,add multiplicated integrated to rnn
indiejoseph/chinese-char-rnn,8260fc9792cefc57b237300a8d7749858ed6f2ac,Activation,Feature,,add multiplicated integrated to rnn
fgnt/padertorch,bffdee11522595f39de4f4a6b6b09da02c4b8d3d,,Bug Fix,,fixes calls to losses after renaming
fgnt/padertorch,bffdee11522595f39de4f4a6b6b09da02c4b8d3d,Dropout,Bug Fix,,fixes calls to losses after renaming
fgnt/padertorch,bffdee11522595f39de4f4a6b6b09da02c4b8d3d,Temporal,Bug Fix,,fixes calls to losses after renaming
fgnt/padertorch,bffdee11522595f39de4f4a6b6b09da02c4b8d3d,Linear,Bug Fix,,fixes calls to losses after renaming
fgnt/padertorch,bffdee11522595f39de4f4a6b6b09da02c4b8d3d,,Refactor,,fixes calls to losses after renaming
fgnt/padertorch,bffdee11522595f39de4f4a6b6b09da02c4b8d3d,Dropout,Refactor,,fixes calls to losses after renaming
fgnt/padertorch,bffdee11522595f39de4f4a6b6b09da02c4b8d3d,Temporal,Refactor,,fixes calls to losses after renaming
fgnt/padertorch,bffdee11522595f39de4f4a6b6b09da02c4b8d3d,Linear,Refactor,,fixes calls to losses after renaming
fgnt/padertorch,bffdee11522595f39de4f4a6b6b09da02c4b8d3d,Training,Bug Fix,loss,fixes calls to losses after renaming
fgnt/padertorch,bffdee11522595f39de4f4a6b6b09da02c4b8d3d,Training,Refactor,loss,fixes calls to losses after renaming
simonmeister/motion-rcnn,520b557e095b008bfb023da1c749b3d0eabc521c,Dropout,Feature,,force new instance creation in multirnncell (see also cl 145094809)
simonmeister/motion-rcnn,520b557e095b008bfb023da1c749b3d0eabc521c,Temporal,Feature,,force new instance creation in multirnncell (see also cl 145094809)
hirofumi0810/tensorflow_end2end_speech_recognition,2bfaf9061db97ee0ff8c38b2c49b19192b284a9f,,Feature,,change ctc outputs from time-major to batch-major
hirofumi0810/tensorflow_end2end_speech_recognition,2bfaf9061db97ee0ff8c38b2c49b19192b284a9f,Dropout,Feature,,change ctc outputs from time-major to batch-major
hirofumi0810/tensorflow_end2end_speech_recognition,2bfaf9061db97ee0ff8c38b2c49b19192b284a9f,Temporal,Feature,,change ctc outputs from time-major to batch-major
hirofumi0810/tensorflow_end2end_speech_recognition,2bfaf9061db97ee0ff8c38b2c49b19192b284a9f,Initializer,Feature,,change ctc outputs from time-major to batch-major
hirofumi0810/tensorflow_end2end_speech_recognition,2bfaf9061db97ee0ff8c38b2c49b19192b284a9f,Linear,Feature,,change ctc outputs from time-major to batch-major
