Library Name,API Name,Parameter ID,Parameter Type
keras,keras.callbacks.ReduceLROnPlateau,cooldown,Learning Rate Scheduling
keras,keras.callbacks.ReduceLROnPlateau,patience,Learning Rate Scheduling
keras,keras.callbacks.ReduceLROnPlateau,min_lr,Learning Rate Scheduling
keras,keras.callbacks.ReduceLROnPlateau,factor,Learning Rate Scheduling
keras,torch.optim.lr_scheduler.ReduceLROnPlateau,mode,Learning Rate Scheduling
keras,keras.layers.Embedding,trainable,Trainability
keras,keras.models.Model.fit,epochs,Iteration
keras,keras.models.Sequential.fit,epochs,Iteration
tensorflow,tensorflow.train.batch,batch_size,Data Size
tensorflow,tensorflow.train.batch,num_threads,Efficiency
tensorflow,tensorflow.train.exponential_decay,0,Learning Rate
tensorflow,tensorflow.train.exponential_decay,2,Learning Rate Scheduling
tensorflow,tensorflow.train.exponential_decay,3,Learning Rate Scheduling
tensorflow,tensorflow.train.exponential_decay,decay_steps,Learning Rate Scheduling
tensorflow,tensorflow.train.exponential_decay,decay_rate,Learning Rate Scheduling
tensorflow,tensorflow.train.ExponentialMovingAverage,0,Learning Rate Scheduling
tensorflow,tensorflow.train.ExponentialMovingAverage,decay,Learning Rate Scheduling
tensorflow,tensorflow.train.ExponentialMovingAverage,1,Learning Rate Scheduling
torch,torch.optim.lr_scheduler.CosineAnnealingLR,1,Learning Rate Scheduling
torch,torch.optim.lr_scheduler.CosineAnnealingLR,T_max,Learning Rate Scheduling
torch,torch.optim.lr_scheduler.CosineAnnealingLR,eta_min,Learning Rate Scheduling
torch,torch.optim.lr_scheduler.LambdaLR,1,Learning Rate Scheduling
torch,torch.optim.lr_scheduler.MultiStepLR,milestones,Learning Rate Scheduling
torch,torch.optim.lr_scheduler.ReduceLROnPlateau,patience,Learning Rate Scheduling
torch,torch.optim.lr_scheduler.ReduceLROnPlateau,threshold,Learning Rate Scheduling
torch,torch.optim.lr_scheduler.StepLR,step_size,Learning Rate Scheduling
tensorflow,tensorflow.Variable,trainable,Trainability
tensorflow,tensorflow.get_variable,trainable,Trainability
tensorflow,tensorflow.layers.batch_normalization,training,Trainability
tensorflow,tensorflow.train.shuffle_batch,capacity,Data Size
keras,keras.callbacks.ReduceLROnPlateau,monitor,Learning Rate Scheduling
tensorflow,tensorflow.train.shuffle_batch,batch_size,Data Size
torch,torch.nn.Parameter,requires_grad,Trainability
torch,torch.optim.lr_scheduler.MultiStepLR,1,Learning Rate Scheduling
tensorflow,tensorflow.train.shuffle_batch,num_threads,Efficiency
,*,num_epoch,Iteration
,*,num_epochs,Iteration
,*,trainable,Trainability
,*,require_grad,Trainability
,*,requires_grad,Trainability
,tensorflow.*.train.polynomial_decay,cycle,Learning Rate Scheduling
,tensorflow.*.train.polynomial_decay,0,Learning Rate
,tensorflow.*.train.polynomial_decay,2,Learning Rate Scheduling
,tensorflow.*.train.polynomial_decay,end_learning_rate,Learning Rate Scheduling
