Project Name,Change Frequency,Commit Count
BobLiu20/FaceRecognition_PyTorch,64,5
PureHing/face-mask-detection-tf2,26,1
twjiang/graphSAGE-pytorch,68,11
MultiPath/Squirrel,151,19
xingyul/sparse-winograd-cnn,8,1
marquezo/qanet-impl,163,22
ucbrise/hypersched,4,1
xwgeng/RNNSearch,29,2
WANG-Chaoyue/EvolutionaryGAN-pytorch,111,16
SigmaQuan/NTM-Keras,220,30
avBuffer/UNet3plus_pth,1,1
tensorflow/fold,51,6
pyro-ppl/funsor,666,126
Pendulibrium/ai-visual-storytelling-seq2seq,514,66
jayleicn/TVQAplus,4,1
yuanxiaosc/Entity-Relation-Extraction,18,2
ailias/Focal-Loss-implement-on-Tensorflow,3,2
deepsound-project/samplernn-pytorch,6,1
david-yoon/attentive-modality-hopping-for-SER,3,1
jihunchoi/lsoftmax-pytorch,16,3
ikostrikov/pytorch-flows,43,7
microljy/DREN_Tensorflow,42,2
Megvii-Nanjing/ED-Net,6,1
jankrepl/deepdow,108,12
maozezhong/focal_loss_multi_class,7,3
ZF1044404254/MMAL-Net,3,1
MarvinTeichmann/tensorflow-fcn,429,22
hanxiao/tf-attentive-conv,15,1
BiometricVox/zAI,4,1
ctuning/ck-tensorflow,100,26
martius-lab/EQL_Tensorflow,31,4
laggui/pytorch-cpp,35,3
crcrpar/pytorch.sngan_projection,77,6
527760681/Keras-Remote-sensing-image-retrieval,14,1
sld/supervised-embedding-model,146,17
markdtw/vqa-winner-cvprw-2017,148,3
rgal/gym-2048,711,96
awentzonline/keras-rtst,24,5
haoxiangsnr/SNR-Based-Progressive-Learning-of-Deep-Neural-Network-for-Speech-Enhancement,9,2
A03ki/f-AnoGAN,26,8
yassersouri/pytorch-deep-sets,41,8
alvations/pywsd,2,1
ZHANG-SHI-CHANG/MnasNet-Tensorflow,3,1
AliLotfi92/Deep_Variational_Information_Bottleneck,4,2
daniel-muthukrishna/astrodash,136,10
xwzy/Triplet-deep-hash-pytorch,1,1
friedhelm739/Insightface-tensorflow,40,5
woodyx218/Deep-Learning-with-GDP-Tensorflow,3,2
CoinCheung/BiSeNet,192,8
cyoon1729/Multi-agent-reinforcement-learning,116,12
cornellius-gp/gpytorch,6205,829
Enealor/PyTorch-SM3,17,5
nikicc/twitter-emotion-recognition,2,1
cemoody/topicsne,11,2
linci8210/video-super-resolution,2,1
sunnyxiaohu/R-C3D.pytorch,77,9
AniSkywalker/SarcasmDetection,433,38
dragen1860/DARTS-PyTorch,21,3
BradleyGrantham/pl-predictions-using-fifa,10,1
sailordiary/m3t.pytorch,208,62
tqtg/hierarchical-attention-networks,1,1
NekoApocalypse/PCNN_TensorFlow,89,2
lyeoni/pretraining-for-language-understanding,38,8
charliememory/Pose-Guided-Person-Image-Generation,10,2
Hiroshiba/pytorch-trainer,24,3
kakaobrain/torchgpipe,160,35
uchida-takumi/CustomizedLinear,36,6
610265158/faceboxes-tensorflow,180,17
MVIG-SJTU/AlphaPose,474,42
Accagain2014/TextMatching,115,4
chen0040/keras-english-resume-parser-and-analyzer,3,1
gsurma/cartpole,1,1
SymJAX/SymJAX,51,3
ekzhang/fastseg,59,10
nethsix/gentle_tensorflow,57,10
topazape/LSTM_Chem,4,1
vsuthichai/paraphraser,287,21
fuzimaoxinan/Pytorch-Deep-Neural-Networks,240,14
dai-dao/StarCraftBot,82,11
gogyzzz/prognet_emorecog,134,7
thewintersun/tensorflowbook,116,10
aqlaboratory/proteinnet,4,1
1zb/pytorch-image-comp-rnn,8,3
gevero/enet_tensorflow,324,34
itsuki8914/ESRGAN-TensorFlow,3,3
suvojit-0x55aa/mixed-precision-pytorch,4,1
zhangjunh/DR-GAN-by-pytorch,6,1
kevin-kaixu/grass_pytorch,79,2
seann999/ssd_tensorflow,125,14
barisgecer/facegan,334,40
MgArcher/Text_select_captcha,4,2
gordicaleksa/pytorch-deepdream,185,26
jshap70/TensorFlow-Signal-Processing,63,11
UMBCvision/fooling_network_interpretation,7,1
f1recracker/pytorch-deeplab-v3-plus,194,17
guillaumegenthial/sequence_tagging,33,6
bl0/moco,50,4
SINGROUP/dscribe,79,7
MorvanZhou/pytorch-A3C,15,3
apcode/tensorflow_fasttext,202,23
EricElmoznino/deep_bilateral_network,68,26
thatbrguy/Pedestrian-Detection,1,1
jhultman/vision3d,343,54
javierdemartin/neural-bikes,1,1
raosudha89/clarification_question_generation_pytorch,917,30
sagiebenaim/OneShotTranslation,24,1
jacobgil/pytorch-grad-cam,52,13
bes-dev/crnn-pytorch,17,5
Eric-mingjie/network-slimming,2,1
gmftbyGMFTBY/MultiTurnDialogZoo,403,34
TensorPy/TensorPy,9,5
WeiTang114/MVCNN-TensorFlow,110,9
xiao9616/yolo4_tensorflow2,135,9
tattaka/Filter-Response-Normalization-PyTorch,82,7
DTennant/tl-YOLOv2,13,1
takatex/protein-secondary-structure-prediction,18,2
IBM/MAX-Object-Detector,99,1
Zzh-tju/DIoU-pytorch-detectron,2,1
BIGBALLON/Deep-learning-and-practices,318,20
ShomyLiu/pytorch-relation-extraction,50,8
jwyang/lr-gan.pytorch,247,11
EliasCai/idcard-ocr,8,1
lucidrains/electra-pytorch,38,10
tonypeng/tensorstyle,27,6
wikipedia2vec/wikipedia2vec,1,1
google/tensorflow-recorder,90,23
saturn-lab/audioNet,48,5
li-js/gpu_memory_profiling,4,1
courao/ocr.pytorch,11,2
nerox8664/gluon2pytorch,12,5
zhampel/clusterGAN,119,13
macanv/BERT-BiLSTM-CRF-NER,128,21
open-mmlab/OpenUnReID,56,12
perseus784/BvS,1,1
iwangjian/textsum-gan,92,10
ultralytics/yolov3,1093,350
driemworks/agatha,2,1
lmbxmu/RBNN,194,13
clarkerubber/irwin,1218,42
guillaume-chevalier/Hyperopt-Keras-CNN-CIFAR-100,98,8
zhanghang1989/ResNeSt,15,3
lucidrains/performer-pytorch,21,6
tonyngjichun/SOLAR,63,9
ssydasheng/FBNN,11,2
GT-RIPL/Continual-Learning-Benchmark,5,1
Ecohnoch/Vggvox-TensorFlow,272,6
bubbliiiing/yolov4-pytorch,126,20
kanezaki/pytorch-rotationnet,3,1
akarazniewicz/smd,12,4
parksunwoo/show_attend_and_tell_pytorch,62,2
titu1994/Keras-Group-Normalization,16,4
nerox8664/pytorch2keras,823,82
uber/ludwig,3412,316
ugent-korea/pytorch-unet-segmentation,278,39
ClementPinard/DepthNet,25,1
Kazuhito00/object-detection-bbox-art,4,2
Naman-ntc/3D-HourGlass-Network,611,116
Vious/LBAM_Pytorch,1,1
wkentaro/chainer-cyclegan,2,1
Yukariin/SAN_pytorch,3,1
wookayin/tensorflow-talk-debugging,12,1
taki0112/ControlGAN-Tensorflow,223,6
Samuel-Buteau/universal-battery-database,3256,224
kalpitthakkar/pb-gcn,1,1
carpedm20/ENAS-pytorch,115,16
mrahtz/tensorflow-pos-tagger,236,32
zacario-li/Fast-SCNN_pytorch,5,3
chenwuperth/rgz_rcnn,4,1
mzemlyanikin/binary-nets,30,5
ybabakhin/kaggle_salt_bes_phalanx,268,19
Armour/Automatic-Image-Colorization,421,16
mpkuse/cartwheel_train,717,37
stepelu/ptstat,70,1
fxmeng/filter-grafting,48,3
matthew-z/R-net,579,38
zgcr/AICITY2020_track2_reid_BeBetter,33,4
atinghosh/VAE-pytorch,183,8
Serge-weihao/CCNet-Pure-Pytorch,6,1
JayYip/cws-tensorflow,253,21
shijx12/DeepSim,972,46
yunjey/mnist-svhn-transfer,14,2
anordertoreclaim/PixelCNN,116,30
Sofwath/thaanaOCR,2,2
rvinas/sentiment-analysis-tensorflow,4,1
Nealcly/BiLSTM-LAN,76,5
huanghoujing/beyond-part-models,5,1
salaniz/pytorch-gve-lrcn,322,33
zhongbin1/DeepMatching,150,6
ChenglongChen/pytorch-DRL,62,4
dariocazzani/World-Models-TensorFlow,23,3
santhoshkolloju/Abstractive-Summarization-With-Transfer-Learning,4,3
taki0112/Self-Attention-GAN-Tensorflow,81,8
arnoweng/PyTorch-Deep-Image-Steganography,108,12
EmanuelOverflow/LSTM-TensorSpark,92,1
cgorman/tensorflow-som,123,7
siddk/entity-network,110,6
buwantaiji/DominantSparseEigenAD,165,12
anujshah1003/Transfer-Learning-in-keras---custom-data,6,1
nileshkulkarni/volumetricPrimitivesPytorch,52,6
chen0040/keras-face,2,2
jiegzhan/image-classification-rnn,42,5
jiegzhan/multi-class-text-classification-cnn-rnn,76,13
lipiji/rnn-pytorch,48,8
talkingwallace/NGCF-pytorch,3,1
KleinYuan/tf-3d-object-detection,38,2
bojone/bert4keras,227,94
kaniblu/pytorch-skipthoughts,156,13
deepcam-cn/Face-Anti-spoofing.pytorch,4,1
arthurflor23/handwritten-text-recognition,1080,105
NVIDIA-AI-IOT/tf_trt_models,7,2
karpathy/pytorch-made,1,1
yzhangcs/parser,293,35
XinArkh/VNect,36,7
naoto0804/pytorch-inpainting-with-partial-conv,74,8
ildoonet/kaggle-human-protein-atlas-image-classification,98,2
cgel/DRL,1044,46
yukiB/rnntest,20,2
zengxianyu/lps,97,5
PacktPublishing/Advanced-Deep-Learning-with-Keras,911,132
carpedm20/NAF-tensorflow,165,14
HareeshBahuleyan/tf-var-attention,15,1
GokuMohandas/the-neural-perspective,354,12
WenmuZhou/flask_pytorch,3,2
ClimbsRocks/auto_ml,483,74
xueyouluo/my_seq2seq,284,21
ZiangYan/deepdefense.pytorch,18,1
kaka-lin/stock-price-predict,3,2
deepchem/torchchem,48,3
gordicaleksa/pytorch-gans,209,25
kzxuan/pytorch-dnnnlp,162,17
circlePi/Bert_Chinese_Ner_pytorch,7,1
digantamisra98/EvoNorm,94,18
NVlabs/DG-Net,47,6
milangritta/Geocoding-with-Map-Vector,560,46
YuhuiMa/DFN-tensorflow,18,5
MarkPrecursor/EEDS-keras,13,1
ahmedfgad/CIFAR10CNNFlask,6,1
AMLab-Amsterdam/AttentionDeepMIL,31,3
evilsocket/ergo-pe-av,11,2
Jongchan/tensorflow-vdsr,77,12
jingw222/raspicam_vision_lite,3,3
phillity/metric_learning,13,2
feiyuhuahuo/Yolact_minimal,320,30
dandelin/Dynamic-memory-networks-plus-Pytorch,4,2
salesforce/pytorch-qrnn,16,5
xuyanfu/TensorFlow_RLRE,4,1
tensorflow/neural-structured-learning,361,63
GerardLiu96/FECNet,40,8
malllabiisc/ASAP,3,1
nnUyi/Non-Local_Nets-Tensorflow,9,2
naoto0804/pytorch-AdaIN,81,17
crisbodnar/TensorFlow-NEAT,7,4
DLangerr/dcgan-mnist-tensorflow,1,1
vlomonaco/ar1-pytorch,91,10
PyTorchLightning/lightning-Covid19,5,1
xiaochus/MobileNetV3,9,4
YingZhangDUT/Deep-Mutual-Learning,14,1
h3lio5/episodic-lifelong-learning,87,47
Junshk/CinCGAN-pytorch,53,4
TianhongDai/hindsight-experience-replay,3,2
crestonbunch/neural-namer,80,6
funcwj/uPIT-for-speech-separation,24,4
exe1023/FusionNet,61,6
ankur219/ECG-Arrhythmia-classification,1,1
coderSkyChen/Action_Recognition_Zoo,33,2
yl-1993/hfsoftmax,75,15
fabvio/ld-lsi,8,4
open-mmlab/mmdetection3d,402,36
bryanyzhu/deepOF,1901,21
idiap/IdiapTTS,35,11
MiuLab/FlowDelta,18,1
alecrubin/pytorch-serverless,2,2
davidtvs/Keras-LinkNet,154,27
brettgohre/still_life_rendering_gqn,2,1
tue-robotics/image_recognition,1025,20
Stick-To/light-head-rcnn-tensorflow,400,7
MiguelMonteiro/CRFasRNNLayer,41,4
czq142857/BSP-NET-pytorch,22,1
ningyu1991/TextureMixer,86,3
aimagelab/art2real,3,1
ohadlights/mobilenetv2,6,1
dragen1860/PPO-Pytorch,129,11
arahuja/generative-tf,53,5
yihui-he/u-net,64,9
zishansami102/Recommendation-Engine,33,2
HongyangGao/Graph-U-Nets,3,2
BINDS-LAB-UMASS/bindsnet,3369,383
monologg/JointBERT,61,12
simonkamronn/kvae,10,3
loicmarie/sign-language-alphabet-recognizer,2,2
tensorflow/datasets,5523,1026
JetRunner/BERT-of-Theseus,2,1
30stomercury/Automatic-Speech-Recognition,551,76
lisjin/dcan-tensorflow,542,29
nttcslab-sp/torchain,121,25
CR-Ko/MegaDepth_TensorFlow,127,8
akshitac8/tfvaegan,8,1
daveredrum/Pointnet2.ScanNet,18,7
cameronfabbri/deepixel,145,12
amalF/Kervolution,65,4
pawel-kieliszczyk/snake-reinforcement-learning,75,7
greerviau/Sketch-Artist,233,8
open-mmlab/mmsegmentation,23,7
priyamtejaswin/devise-keras,357,72
haoheliu/Subband-Music-Separation,7,1
foamliu/Tacotron2-Mandarin,69,28
OMR-Research/MeasureDetector,10648,830
PolyAI-LDN/conversational-datasets,77,8
shipengai/ECG-Segment-LSTM,13,2
yjxiong/tsn-pytorch,4,3
PreferredAI/vs-cnn,147,6
deepmind/scalable_agent,10,2
jingli9111/EUNN-tensorflow,1887,36
azraelkuan/tensorflow_wavenet_vocoder,203,9
neuroailab/LocalAggregation-Pytorch,1,1
soeaver/Pytorch_Mask_RCNN,11,7
mhashas/Document-Image-Unwarping-pytorch,53,9
mkocabas/VIBE,44,3
jha-prateek/Stock-Prediction-RNN,6,1
wenz116/lang2seg,84,3
jhlau/twitter-deepgeo,3,1
DeepAlchemist/deep-person-search,51,4
facebookresearch/poincare-embeddings,41,4
bubbliiiing/faster-rcnn-pytorch,133,13
tdavchev/DESIRE,1141,25
torchkge-team/torchkge,1095,74
r0nn13/conditional-dcgan-keras,42,2
AnjanDutta/sem-pcyc,1,1
HouchangX-AI/Question-and-answer-summary-and-reasoning,323,31
NeymarL/ChineseChess-AlphaZero,50,17
NekoApocalypse/road-extraction-d-linknet,19,3
petrosgk/Kaggle-Carvana-Image-Masking-Challenge,339,10
CUHKSZ-TQL/EverybodyDanceNow_reproduce_pytorch,2,2
marload/DistRL-TensorFlow2,104,9
anxingle/lstm_learn,71,9
minimaxir/textgenrnn,121,39
ShangwuYao/Pose-guided-action-recognition,8,1
moxiegushi/pokeGAN,10,1
stanfordmlgroup/nlc,403,41
codertimo/Tensorflow-Study,6,1
liliumao/Tensorflow-srcnn,1,1
ShangtongZhang/DeepRL,657,86
DeepTrial/Retina-VesselNet,34,2
gouxiangchen/soft-Q-learning,1,1
mozilla/TTS,2617,400
cjekel/tindetheus,145,6
sthomp/tensorflow_transfer_cifar10,1,1
CyberZHG/keras-transformer-xl,11,6
kentsyx/pointnet-pytorch,1,1
cvlab-yonsei/MNAD,16,6
flrngel/understanding-ai,200,15
yuchenlin/lstm_sentence_classifier,17,8
lilianweng/unified-gan-tensorflow,157,7
Cadene/vqa.pytorch,34,1
czq142857/BSP-NET-original,22,1
yfxc/pseudo-3d-tensorflow,2,2
orobix/Visual-Feature-Attribution-Using-Wasserstein-GANs-Pytorch,197,11
msminhas93/CompactCNN,5,1
gouthamvgk/facemesh_coreml_tf,3,1
ankitvgupta/densenet_1d,8,1
arogozhnikov/readable_capsnet,19,7
JeremyCCHsu/tf-vaegan,364,15
clsk/google-smart-reply-2017,19,1
SHTUPLUS/ContextLab,32,2
ibab/tensorflow-wavenet,728,68
jiegzhan/time-series-forecasting-rnn-tensorflow,5,2
gbnk0/simple-image-classifier,6,3
JGuillaumin/swa-tf,166,4
TianzhongSong/Model-Compression-Keras,38,10
yottabytt/pytorch_mtl,10,1
bobqywei/inpainting-partial-conv,59,15
imatge-upc/skiprnn-2017-telecombcn,34,2
dilinwang820/adaptive-f-divergence,22,4
mshunshin/SegNetCMR,162,6
thetobysiu/deepstory,6,4
for-ai/Targeted-Dropout,317,4
miguelvr/dropblock,51,12
HazyResearch/butterfly,3918,299
asyml/texar-pytorch,758,102
artcg/BEGAN,70,2
lambdaji/tf_repos,377,10
bojone/crf,28,6
