API Name,Parameter ID,Default Rate,Flip Rate
torch.nn.convtranspose2d,stride,36.31323631,63.68676369
tensorflow.compat.v1.nn.conv2d,padding,36.48648649,63.51351351
tensorflow.layers.conv2d_transpose,padding,36.73469388,63.26530612
tensorflow.nn.conv2d_transpose,padding,37.27915194,62.72084806
tensorflow.layers.average_pooling2d,padding,37.43842365,62.56157635
keras.layers.convolutional.conv2dtranspose,kernel_initializer,37.68115942,62.31884058
keras.layers.maxpooling2d,pool_size,37.84530387,62.15469613
tensorflow.nn.convolution,padding,38,62
tensorflow.keras.layers.maxpooling2d,pool_size,39.38730853,60.61269147
keras.layers.pooling.maxpooling2d,pool_size,40.6504065,59.3495935
tensorflow.compat.v1.layers.average_pooling2d,data_format,42.30769231,57.69230769
tensorflow.compat.v1.keras.layers.conv2d,padding,42.5,57.5
keras.layers.averagepooling3d,pool_size,42.85714286,57.14285714
tensorflow.keras.layers.gru,recurrent_initializer,42.85714286,57.14285714
tensorflow.contrib.layers.convolution2d,padding,43.01075269,56.98924731
tensorflow.keras.layers.gru,return_state,45.23809524,54.76190476
tensorflow.compat.v1.train.adamoptimizer,learning_rate,45.25862069,54.74137931
torch.nn.convtranspose1d,stride,45.71428571,54.28571429
keras.layers.conv1d,kernel_initializer,46.2585034,53.7414966
tensorflow.layers.max_pooling2d,padding,46.56084656,53.43915344
torch.nn.convtranspose2d,padding,46.75444675,53.24555325
torch.optim.adamax,lr,46.875,53.125
torch.nn.conv2d,padding,47.21630415,52.78369585
torch.nn.convtranspose1d,padding,47.61904762,52.38095238
keras.layers.convolutional.conv3d,kernel_initializer,49.36708861,50.63291139
keras.backend.conv2d,data_format,50.76923077,49.23076923
torch.nn.conv3d,stride,50.8502696,49.1497304
torch.nn.convtranspose3d,stride,51.07526882,48.92473118
tensorflow.layers.max_pooling1d,padding,51.72413793,48.27586207
keras.layers.averagepooling2d,padding,52.21774194,47.78225806
keras.layers.convolution1d,padding,52.70935961,47.29064039
keras.layers.pooling.averagepooling2d,pool_size,52.94117647,47.05882353
tensorflow.compat.v1.layers.max_pooling2d,padding,54,46
torch.nn.conv2d,stride,54.04383227,45.95616773
tensorflow.python.layers.core.dense,trainable,54.54545455,45.45454545
tensorflow.python.layers.normalization.batchnormalization,trainable,56.52173913,43.47826087
torch.nn.maxpool3d,padding,56.56192237,43.43807763
keras.layers.maxpooling1d,pool_size,56.88888889,43.11111111
keras.layers.averagepooling2d,pool_size,57.05645161,42.94354839
tensorflow.keras.layers.convolution2d,padding,58.33333333,41.66666667
keras.layers.wrappers.bidirectional,merge_mode,58.62068966,41.37931034
tensorflow.keras.layers.maxpooling2d,padding,59.0809628,40.9190372
keras.layers.convolutional.maxpooling3d,padding,59.30232558,40.69767442
tensorflow.layers.max_pooling3d,padding,59.52380952,40.47619048
tensorflow.layers.average_pooling2d,data_format,59.60591133,40.39408867
tensorflow.compat.v2.keras.layers.dense,kernel_initializer,59.74025974,40.25974026
tensorflow.contrib.layers.joint_weighted_sum_from_feature_columns,trainable,60,40
tensorflow.contrib.layers.input_from_feature_columns,trainable,60.52631579,39.47368421
tensorflow.keras.layers.convolution2d,kernel_initializer,62.5,37.5
keras.layers.averagepooling1d,pool_size,63.63636364,36.36363636
tensorflow.keras.layers.conv2d,kernel_initializer,63.74622356,36.25377644
keras.layers.maxpooling3d,pool_size,63.77952756,36.22047244
keras.layers.convolutional.conv2d,kernel_initializer,63.94904459,36.05095541
tensorflow.compat.v1.layers.max_pooling2d,data_format,64,36
keras.layers.recurrent.gru,kernel_initializer,64.0625,35.9375
tensorflow.layers.batch_normalization,momentum,64.59930314,35.40069686
tensorflow.keras.layers.conv3d,kernel_initializer,64.70588235,35.29411765
tensorflow.keras.layers.embedding,embeddings_initializer,64.92753623,35.07246377
tensorflow.python.keras.layers.conv3d,padding,65,35
torch.nn.convtranspose3d,padding,65.05376344,34.94623656
tensorflow.train.adamoptimizer,learning_rate,65.07673165,34.92326835
tensorflow.layers.dense,trainable,65.34653465,34.65346535
keras.layers.maxpooling2d,padding,66.49565904,33.50434096
keras.layers.convolutional.convolution1d,padding,67.12328767,32.87671233
tensorflow.keras.layers.conv3d,data_format,67.64705882,32.35294118
torch.nn.conv1d,padding,67.87954831,32.12045169
torch.nn.maxpool2d,padding,69.21587609,30.78412391
torch.nn.avgpool2d,padding,69.61046685,30.38953315
torch.optim.rmsprop,alpha,70.37815126,29.62184874
keras.layers.convolutional.convolution1d,kernel_initializer,71.23287671,28.76712329
tensorflow.python.keras.layers.batchnormalization,momentum,71.63120567,28.36879433
tensorflow.layers.maxpooling2d,data_format,72.22222222,27.77777778
tensorflow.train.adamoptimizer,beta1,74.86520116,25.13479884
tensorflow.compat.v1.keras.layers.conv2d,kernel_initializer,75,25
keras.utils.conv_utils.conv_output_length,padding,75.64102564,24.35897436
tensorflow.nn.dynamic_rnn,time_major,75.91160221,24.08839779
keras.layers.conv2d,kernel_initializer,76.02953051,23.97046949
tensorflow.keras.layers.lstm,return_state,76.06382979,23.93617021
tensorflow.compat.v1.layers.conv2d,data_format,76.23762376,23.76237624
torch.nn.conv1d,stride,76.24424927,23.75575073
torch.nn.functional.max_pool3d,padding,76.36363636,23.63636364
keras.layers.conv3d,kernel_initializer,76.59574468,23.40425532
tensorflow.python.keras._impl.keras.layers.maxpooling2d,padding,76.66666667,23.33333333
tensorflow.contrib.layers.conv2d_transpose,padding,76.76056338,23.23943662
keras.layers.pooling.maxpooling2d,padding,77.23577236,22.76422764
keras.layers.conv3d,data_format,77.44680851,22.55319149
tensorflow.keras.layers.averagepooling2d,padding,78,22
keras.layers.convolutional.zeropadding2d,padding,78.08219178,21.91780822
tensorflow.keras.layers.conv2d,bias_initializer,78.37361531,21.62638469
tensorflow.layers.max_pooling2d,data_format,78.65961199,21.34038801
tensorflow.python.keras.layers.embedding,embeddings_initializer,78.78787879,21.21212121
tensorflow.contrib.layers.weighted_sum_from_feature_columns,trainable,78.94736842,21.05263158
tensorflow.keras.layers.dense,kernel_initializer,79.25368978,20.74631022
tensorflow.keras.layers.lstm,activation,79.25531915,20.74468085
tensorflow.contrib.layers.convolution2d_transpose,padding,80,20
tensorflow.python.keras._impl.keras.utils.conv_utils.conv_output_length,padding,80,20
keras.layers.convolution2d,padding,80.08348241,19.91651759
tensorflow.keras.layers.conv2dtranspose,kernel_initializer,80.13937282,19.86062718
keras.layers.bidirectional,merge_mode,80.70175439,19.29824561
tensorflow.contrib.layers.python.layers.batch_norm,trainable,81.25,18.75
tensorflow.keras.layers.conv1d,kernel_initializer,81.31313131,18.68686869
tensorflow.keras.layers.batchnormalization,momentum,81.76197836,18.23802164
tensorflow.contrib.layers.conv2d,padding,81.80853885,18.19146115
keras.layers.averagepooling1d,padding,81.81818182,18.18181818
tensorflow.python.keras.layers.dense,kernel_initializer,82.53968254,17.46031746
keras.layers.recurrent.gru,activation,82.8125,17.1875
keras.layers.convolutional.convolution2d,padding,82.83828383,17.16171617
keras.layers.convlstm2d,padding,82.85714286,17.14285714
tensorflow.layers.conv2d,data_format,83.17794893,16.82205107
keras.layers.conv2dtranspose,kernel_initializer,83.28611898,16.71388102
tensorflow.keras.layers.gru,activation,83.33333333,16.66666667
tensorflow.keras.layers.gru,recurrent_activation,83.33333333,16.66666667
torch.nn.functional.max_pool2d,padding,83.40857788,16.59142212
tensorflow.keras.layers.lstm,recurrent_initializer,84.04255319,15.95744681
keras.layers.convolutional.conv2dtranspose,data_format,84.05797101,15.94202899
tensorflow.python.keras.layers.conv2d,kernel_initializer,84.11214953,15.88785047
keras.layers.simplernn,activation,84.3373494,15.6626506
keras.layers.convolutional.conv1d,kernel_initializer,84.95575221,15.04424779
torch.nn.avgpool3d,padding,84.96732026,15.03267974
tensorflow.keras.layers.lstm,kernel_initializer,85.10638298,14.89361702
tensorflow.layers.batchnormalization,momentum,85.24590164,14.75409836
torch.nn.maxpool1d,padding,85.48387097,14.51612903
torch.nn.functional.avg_pool2d,padding,85.52405498,14.47594502
keras.layers.convolutional.maxpooling2d,data_format,85.71428571,14.28571429
tensorflow.contrib.keras.layers.dense,kernel_initializer,85.71428571,14.28571429
tensorflow.keras.layers.bidirectional,merge_mode,85.8974359,14.1025641
tensorflow.keras.layers.lstm,stateful,86.17021277,13.82978723
keras.layers.core.dense,kernel_initializer,86.31329114,13.68670886
torch.nn.functional.avg_pool3d,padding,86.66666667,13.33333333
tensorflow.keras.layers.globalaveragepooling2d,data_format,86.75213675,13.24786325
keras.layers.maxpooling1d,padding,87.11111111,12.88888889
tensorflow.compat.v1.keras.layers.conv2d,data_format,87.5,12.5
torch.nn.convtranspose1d,dilation,87.61904762,12.38095238
keras.layers.dense,kernel_initializer,87.68351105,12.31648895
keras.layers.gru,activation,88.19672131,11.80327869
keras.layers.gru,kernel_initializer,88.52459016,11.47540984
torch.nn.convtranspose1d,padding_mode,88.57142857,11.42857143
keras.layers.recurrent.lstm,activation,88.67313916,11.32686084
tensorflow.compat.v1.keras.layers.dense,kernel_initializer,88.70967742,11.29032258
tensorflow.layers.conv1d,data_format,89.04109589,10.95890411
torch.nn.batchnorm2d,momentum,89.29434202,10.70565798
tensorflow.keras.layers.lstm,recurrent_activation,89.36170213,10.63829787
keras.layers.lstm,activation,90.47085202,9.529147982
tensorflow.keras.layers.gru,kernel_initializer,90.47619048,9.523809524
tensorflow.keras.layers.globalaveragepooling1d,data_format,90.47619048,9.523809524
torch.nn.batchnorm2d,affine,90.5626192,9.437380801
keras.layers.convolutional.averagepooling2d,padding,90.75144509,9.248554913
keras.layers.lstm,kernel_initializer,90.80717489,9.192825112
tensorflow.layers.conv3d,data_format,90.90909091,9.090909091
keras.layers.batchnormalization,momentum,90.91633466,9.083665339
keras.layers.recurrent.lstm,kernel_initializer,90.93851133,9.061488673
keras.layers.convolutional.maxpooling2d,padding,91.0906298,8.9093702
torch.nn.conv1d,dilation,91.09159348,8.908406524
torch.nn.functional.avg_pool1d,padding,91.30434783,8.695652174
keras.layers.convolution2d,kernel_initializer,91.35360763,8.646392367
tensorflow.compat.v1.keras.layers.dense,bias_initializer,91.93548387,8.064516129
keras.layers.convolutional.maxpooling1d,padding,92.30769231,7.692307692
tensorflow.layers.conv2d_transpose,data_format,92.60204082,7.397959184
tensorflow.compat.v1.train.adamoptimizer,beta1,92.67241379,7.327586207
keras.layers.lstm,return_state,92.71300448,7.286995516
keras.layers.embeddings.embedding,embeddings_initializer,92.75362319,7.246376812
tensorflow.keras.layers.maxpooling1d,padding,93.10344828,6.896551724
keras.layers.convolutional.convolution2d,kernel_initializer,93.39933993,6.600660066
tensorflow.compat.v1.layers.dense,trainable,93.50649351,6.493506494
keras.layers.embedding,embeddings_initializer,93.58108108,6.418918919
tensorflow.python.layers.core.dense,trainable,93.82716049,6.172839506
tensorflow.keras.layers.separableconv2d,depthwise_initializer,94.02985075,5.970149254
keras.layers.convolutional.convolution1d,bias_initializer,94.52054795,5.479452055
tensorflow.compat.v2.keras.layers.dense,bias_initializer,94.80519481,5.194805195
keras.layers.recurrent.lstm,return_state,94.82200647,5.177993528
keras.layers.normalization.batchnormalization,momentum,94.84215207,5.157847932
keras.layers.depthwiseconv2d,depthwise_initializer,95.0617284,4.938271605
torch.nn.conv3d,dilation,95.10576524,4.894234757
tensorflow.keras.layers.conv2dtranspose,bias_initializer,95.12195122,4.87804878
tensorflow.keras.layers.lstm,bias_initializer,95.21276596,4.787234043
torch.nn.conv2d,dilation,95.25838577,4.74161423
tensorflow.keras.layers.separableconv2d,bias_initializer,95.52238806,4.47761194
tensorflow.keras.layers.separableconv2d,pointwise_initializer,95.52238806,4.47761194
keras.layers.convolutional.convolution3d,kernel_initializer,95.55555556,4.444444444
keras.layers.convolutional.conv2dtranspose,bias_initializer,95.65217391,4.347826087
tensorflow.contrib.layers.instance_norm,trainable,95.65217391,4.347826087
tensorflow.contrib.layers.batch_norm,trainable,95.66787004,4.332129964
torch.nn.convtranspose3d,dilation,95.69892473,4.301075269
keras.layers.recurrent.lstm,stateful,95.79288026,4.207119741
tensorflow.keras.layers.conv1d,bias_initializer,95.95959596,4.04040404
torch.nn.embedding,sparse,95.96584217,4.034157833
tensorflow.contrib.layers.layer_norm,trainable,96.04743083,3.95256917
keras.layers.convolutional.conv2d,data_format,96.24203822,3.757961783
tensorflow.contrib.layers.fully_connected,trainable,96.25199362,3.74800638
keras.layers.simplernn,bias_initializer,96.38554217,3.614457831
keras.layers.simplernn,kernel_initializer,96.38554217,3.614457831
keras.layers.recurrent.lstm,bias_initializer,96.44012945,3.55987055
keras.layers.lstm,stateful,96.52466368,3.475336323
tensorflow.layers.dense,trainable,96.72386895,3.276131045
keras.layers.recurrent.lstm,recurrent_initializer,96.76375405,3.236245955
tensorflow.keras.layers.globalmaxpooling2d,data_format,96.77419355,3.225806452
tensorflow.contrib.slim.layers.conv2d,padding,96.79487179,3.205128205
torch.nn.convtranspose2d,dilation,96.81219681,3.187803188
keras.layers.convolutional.conv3d,bias_initializer,96.83544304,3.164556962
keras.layers.conv2dtranspose,data_format,96.88385269,3.116147309
tensorflow.keras.layers.dense,bias_initializer,96.90893901,3.091060986
tensorflow.keras.layers.conv3d,bias_initializer,97.05882353,2.941176471
keras.layers.recurrent.lstm,recurrent_activation,97.08737864,2.912621359
tensorflow.keras.layers.conv2d,data_format,97.20543807,2.794561934
keras.layers.recurrent.lstm,unit_forget_bias,97.41100324,2.588996764
keras.layers.lstm,recurrent_activation,97.42152466,2.578475336
keras.layers.conv2d,data_format,97.51989849,2.480101511
torch.nn.maxunpool2d,padding,97.52066116,2.479338843
keras.backend.rnn,time_major,97.72727273,2.272727273
keras.layers.conv2dtranspose,bias_initializer,97.73371105,2.266288952
keras.layers.dense,bias_initializer,97.89831556,2.101684438
keras.layers.convolutional.conv3d,data_format,98.10126582,1.898734177
tensorflow.keras.layers.conv2dtranspose,data_format,98.25783972,1.742160279
keras.layers.gru,recurrent_activation,98.36065574,1.639344262
keras.layers.gru,stateful,98.36065574,1.639344262
tensorflow.keras.layers.lstm,unit_forget_bias,98.40425532,1.595744681
tensorflow.python.keras.layers.dense,bias_initializer,98.41269841,1.587301587
keras.layers.lstm,bias_initializer,98.43049327,1.569506726
keras.layers.conv2d,bias_initializer,98.47733303,1.522666974
tensorflow.keras.layers.conv1d,data_format,98.48484848,1.515151515
keras.layers.normalization.batchnormalization,gamma_initializer,98.48821699,1.511783015
keras.layers.separableconv2d,bias_initializer,98.59813084,1.401869159
keras.layers.gru,recurrent_initializer,98.68852459,1.31147541
keras.layers.gru,return_state,98.68852459,1.31147541
tensorflow.compat.v1.layers.dense,trainable,98.7745098,1.225490196
keras.layers.simplernn,recurrent_initializer,98.79518072,1.204819277
keras.layers.simplernn,stateful,98.79518072,1.204819277
keras.layers.convolutional.maxpooling3d,data_format,98.8372093,1.162790698
tensorflow.keras.layers.batchnormalization,gamma_initializer,98.86656363,1.133436373
keras.layers.convolution1d,kernel_initializer,99.01477833,0.9852216749
keras.layers.separableconv2d,depthwise_initializer,99.06542056,0.9345794393
keras.layers.separableconv2d,pointwise_initializer,99.06542056,0.9345794393
tensorflow.keras.layers.timedistributed,trainable,99.11894273,0.8810572687
keras.layers.convolutional.conv2d,bias_initializer,99.17197452,0.8280254777
tensorflow.keras.layers.batchnormalization,beta_initializer,99.27872231,0.7212776919
tensorflow.contrib.layers.conv2d_transpose,data_format,99.29577465,0.7042253521
tensorflow.layers.batch_normalization,renorm_momentum,99.30313589,0.6968641115
keras.layers.convolutional.upsampling2d,data_format,99.32432432,0.6756756757
keras.layers.lstm,recurrent_initializer,99.32735426,0.6726457399
keras.layers.gru,bias_initializer,99.3442623,0.6557377049
keras.layers.normalization.batchnormalization,beta_initializer,99.42196532,0.5780346821
torch.nn.conv1d,padding_mode,99.45629444,0.5437055625
torch.nn.convtranspose3d,padding_mode,99.46236559,0.5376344086
tensorflow.keras.layers.lstm,time_major,99.46808511,0.5319148936
keras.layers.conv1d,bias_initializer,99.61127308,0.3887269193
tensorflow.keras.layers.batchnormalization,renorm_momentum,99.63936115,0.360638846
tensorflow.contrib.layers.conv2d,data_format,99.65526386,0.3447361443
keras.layers.lstm,unit_forget_bias,99.66367713,0.33632287
tensorflow.keras.layers.layernormalization,beta_initializer,99.66887417,0.3311258278
tensorflow.keras.layers.layernormalization,gamma_initializer,99.66887417,0.3311258278
keras.layers.core.dense,bias_initializer,99.6835443,0.3164556962
tensorflow.keras.layers.batchnormalization,moving_mean_initializer,99.69088099,0.3091190108
tensorflow.keras.layers.batchnormalization,moving_variance_initializer,99.69088099,0.3091190108
keras.layers.convolutional.convolution2d,data_format,99.75247525,0.2475247525
keras.layers.convolution2d,data_format,99.82110912,0.1788908766
keras.layers.convolutional.convolution2d,bias_initializer,99.8349835,0.1650165017
torch.nn.conv3d,padding_mode,99.91704687,0.08295313148
torch.nn.conv2d,padding_mode,99.92237692,0.07762308213
torch.nn.convtranspose2d,padding_mode,99.93069993,0.0693000693
keras.layers.batchnormalization,beta_initializer,99.94023904,0.05976095618
keras.layers.batchnormalization,moving_mean_initializer,99.94023904,0.05976095618
keras.layers.batchnormalization,moving_variance_initializer,99.94023904,0.05976095618
keras.layers.batchnormalization,gamma_initializer,99.96015936,0.03984063745
